qnat,evap,conversor
5821,12,2.6784
8515,5,2.4192
18399,4,2.6784
12467,-2,2.592
6045,2,2.6784
3738,29,2.592
2760,52,2.6784
2023,72,2.6784
1746,75,2.592
2196,69,2.6784
3822,41,2.592
4185,29,2.6784
5754,12,2.6784
7743,5,2.5056
6381,4,2.6784
3914,-2,2.592
2133,2,2.6784
1393,29,2.592
1020,52,2.6784
676,72,2.6784
946,75,2.592
1451,69,2.6784
2329,41,2.592
3367,29,2.6784
5571,12,2.6784
6692,5,2.4192
6959,4,2.6784
6857,-2,2.592
3174,2,2.6784
1851,29,2.592
1338,52,2.6784
989,72,2.6784
950,75,2.592
1122,69,2.6784
3462,41,2.592
7289,29,2.6784
8537,12,2.6784
9939,5,2.4192
9669,4,2.6784
7194,-2,2.592
3999,2,2.6784
2043,29,2.592
1391,52,2.6784
1021,72,2.6784
1141,75,2.592
1058,69,2.6784
2352,41,2.592
4538,29,2.6784
8013,12,2.6784
11390,5,2.4192
13444,4,2.6784
13617,-2,2.592
8461,2,2.6784
4201,29,2.592
2764,52,2.6784
2133,72,2.6784
1665,75,2.592
1973,69,2.6784
3451,41,2.592
4982,29,2.6784
4223,12,2.6784
7346,5,2.5056
8806,4,2.6784
8874,-2,2.592
4731,2,2.6784
2565,29,2.592
1796,52,2.6784
1368,72,2.6784
1232,75,2.592
1418,69,2.6784
2342,41,2.592
3361,29,2.6784
4265,12,2.6784
5743,5,2.4192
6194,4,2.6784
4915,-2,2.592
2897,2,2.6784
1482,29,2.592
967,52,2.6784
773,72,2.6784
585,75,2.592
1874,69,2.6784
4225,41,2.592
8782,29,2.6784
8748,12,2.6784
7659,5,2.4192
6847,4,2.6784
5160,-2,2.592
3073,2,2.6784
1718,29,2.592
1165,52,2.6784
872,72,2.6784
722,75,2.592
1318,69,2.6784
1806,41,2.592
2937,29,2.6784
5169,12,2.6784
6541,5,2.4192
5729,4,2.6784
3900,-2,2.592
1972,2,2.6784
1175,29,2.592
1316,52,2.6784
863,72,2.6784
1045,75,2.592
2245,69,2.6784
3700,41,2.592
3595,29,2.6784
6420,12,2.6784
12077,5,2.5056
17227,4,2.6784
10561,-2,2.592
5247,2,2.6784
3304,29,2.592
2344,52,2.6784
1809,72,2.6784
1791,75,2.592
1892,69,2.6784
3809,41,2.592
5667,29,2.6784
6241,12,2.6784
6723,5,2.4192
7638,4,2.6784
7003,-2,2.592
3150,2,2.6784
1742,29,2.592
1350,52,2.6784
1023,72,2.6784
903,75,2.592
2392,69,2.6784
3962,41,2.592
4925,29,2.6784
5802,12,2.6784
9087,5,2.4192
7814,4,2.6784
5536,-2,2.592
2814,2,2.6784
1532,29,2.592
1124,52,2.6784
791,72,2.6784
1575,75,2.592
1882,69,2.6784
3413,41,2.592
7438,29,2.6784
15826,12,2.6784
15426,5,2.4192
15261,4,2.6784
10134,-2,2.592
4765,2,2.6784
3035,29,2.592
2221,52,2.6784
1650,72,2.6784
1510,75,2.592
2058,69,2.6784
3817,41,2.592
7409,29,2.6784
7133,12,2.6784
7759,5,2.5056
7076,4,2.6784
6478,-2,2.592
3172,2,2.6784
1976,29,2.592
1458,52,2.6784
1107,72,2.6784
819,75,2.592
1797,69,2.6784
2765,41,2.592
5286,29,2.6784
11060,12,2.6784
14271,5,2.4192
14846,4,2.6784
15155,-2,2.592
10727,2,2.6784
5274,29,2.592
3278,52,2.6784
2466,72,2.6784
1927,75,2.592
3775,69,2.6784
6252,41,2.592
9845,29,2.6784
11088,12,2.6784
9183,5,2.4192
7953,4,2.6784
5473,-2,2.592
3273,2,2.6784
1831,29,2.592
1198,52,2.6784
906,72,2.6784
945,75,2.592
852,69,2.6784
2810,41,2.592
3514,29,2.6784
5802,12,2.6784
8034,5,2.4192
18020,4,2.6784
13285,-2,2.592
6617,2,2.6784
3988,29,2.592
2850,52,2.6784
2423,72,2.6784
1915,75,2.592
2538,69,2.6784
4098,41,2.592
7172,29,2.6784
8701,12,2.6784
7614,5,2.5056
8513,4,2.6784
6734,-2,2.592
3025,2,2.6784
1840,29,2.592
1375,52,2.6784
1055,72,2.6784
1086,75,2.592
1344,69,2.6784
1834,41,2.592
8906,29,2.6784
11036,12,2.6784
13901,5,2.4192
9917,4,2.6784
7094,-2,2.592
3877,2,2.6784
2233,29,2.592
1568,52,2.6784
1185,72,2.6784
985,75,2.592
1288,69,2.6784
2396,41,2.592
3571,29,2.6784
3716,12,2.6784
4133,5,2.4192
7308,4,2.6784
7596,-2,2.592
3777,2,2.6784
2278,29,2.592
1613,52,2.6784
1203,72,2.6784
1123,75,2.592
1173,69,2.6784
2129,41,2.592
3370,29,2.6784
4199,12,2.6784
3414,5,2.4192
4243,4,2.6784
5727,-2,2.592
3711,2,2.6784
2193,29,2.592
1456,52,2.6784
1080,72,2.6784
894,75,2.592
1121,69,2.6784
1041,41,2.592
2777,29,2.6784
2998,12,2.6784
2740,5,2.5056
7229,4,2.6784
6447,-2,2.592
3906,2,2.6784
2114,29,2.592
1405,52,2.6784
1050,72,2.6784
1054,75,2.592
903,69,2.6784
1350,41,2.592
4973,29,2.6784
4950,12,2.6784
4693,5,2.4192
4719,4,2.6784
4253,-2,2.592
2222,2,2.6784
1327,29,2.592
977,52,2.6784
745,72,2.6784
990,75,2.592
1643,69,2.6784
2157,41,2.592
4608,29,2.6784
4846,12,2.6784
6751,5,2.4192
5909,4,2.6784
5517,-2,2.592
2887,2,2.6784
1573,29,2.592
1119,52,2.6784
865,72,2.6784
763,75,2.592
609,69,2.6784
1657,41,2.592
3671,29,2.6784
5052,12,2.6784
6062,5,2.4192
5287,4,2.6784
5714,-2,2.592
2788,2,2.6784
1515,29,2.592
1097,52,2.6784
847,72,2.6784
755,75,2.592
1193,69,2.6784
2537,41,2.592
5867,29,2.6784
7003,12,2.6784
6515,5,2.5056
8353,4,2.6784
7391,-2,2.592
4704,2,2.6784
2520,29,2.592
1621,52,2.6784
1204,72,2.6784
1064,75,2.592
1174,69,2.6784
4667,41,2.592
9310,29,2.6784
12085,12,2.6784
11624,5,2.4192
16068,4,2.6784
14004,-2,2.592
6066,2,2.6784
3197,29,2.592
2275,52,2.6784
1663,72,2.6784
1465,75,2.592
1345,69,2.6784
2137,41,2.592
3433,29,2.6784
5205,12,2.6784
10396,5,2.4192
10452,4,2.6784
9829,-2,2.592
5083,2,2.6784
2720,29,2.592
1949,52,2.6784
1383,72,2.6784
1364,75,2.592
1502,69,2.6784
1500,41,2.592
2580,29,2.6784
10825,12,2.6784
8965,5,2.4192
8015,4,2.6784
5040,-2,2.592
2638,2,2.6784
1961,29,2.592
1284,52,2.6784
968,72,2.6784
858,75,2.592
992,69,2.6784
1729,41,2.592
1466,29,2.6784
4758,12,2.6784
8503,5,2.5056
12943,4,2.6784
8667,-2,2.592
3646,2,2.6784
2357,29,2.592
1787,52,2.6784
1400,72,2.6784
1149,75,2.592
1182,69,2.6784
1775,41,2.592
4083,29,2.6784
7012,12,2.6784
9433,5,2.4192
7579,4,2.6784
4553,-2,2.592
2993,2,2.6784
1861,29,2.592
1193,52,2.6784
946,72,2.6784
786,75,2.592
801,69,2.6784
1197,41,2.592
2245,29,2.6784
3859,12,2.6784
5782,5,2.4192
6789,4,2.6784
4345,-2,2.592
3144,2,2.6784
1687,29,2.592
1211,52,2.6784
1070,72,2.6784
1037,75,2.592
1214,69,2.6784
2065,41,2.592
4479,29,2.6784
5816,12,2.6784
7310,5,2.4192
5946,4,2.6784
4438,-2,2.592
3605,2,2.6784
1946,29,2.592
1484,52,2.6784
1038,72,2.6784
857,75,2.592
828,69,2.6784
1544,41,2.592
2425,29,2.6784
10384,12,2.6784
13851,5,2.5056
8943,4,2.6784
6828,-2,2.592
3844,2,2.6784
2289,29,2.592
1616,52,2.6784
1311,72,2.6784
1065,75,2.592
1429,69,2.6784
2738,41,2.592
5967,29,2.6784
5287,12,2.6784
6044,5,2.4192
8603,4,2.6784
10620,-2,2.592
4830,2,2.6784
2742,29,2.592
2006,52,2.6784
1593,72,2.6784
1326,75,2.592
2056,69,2.6784
3025,41,2.592
4900,29,2.6784
