qnat,evap,conversor
1191,31,2.6784
1600,8,2.4192
2803,18,2.6784
1768,27,2.592
861,49,2.6784
632,62,2.592
466,71,2.6784
352,80,2.6784
350,97,2.592
522,60,2.6784
750,47,2.592
801,36,2.6784
1343,31,2.6784
1701,8,2.5056
1207,18,2.6784
711,27,2.592
366,49,2.6784
246,62,2.592
181,71,2.6784
184,80,2.6784
170,97,2.592
393,60,2.6784
698,47,2.592
972,36,2.6784
1545,31,2.6784
1535,8,2.4192
1286,18,2.6784
1177,27,2.592
480,49,2.6784
341,62,2.592
244,71,2.6784
187,80,2.6784
229,97,2.592
402,60,2.6784
883,47,2.592
1635,36,2.6784
1618,31,2.6784
1545,8,2.4192
1240,18,2.6784
1076,27,2.592
389,49,2.6784
270,62,2.592
198,71,2.6784
147,80,2.6784
263,97,2.592
202,60,2.6784
547,47,2.592
911,36,2.6784
1792,31,2.6784
2838,8,2.4192
2663,18,2.6784
2449,27,2.592
1254,49,2.6784
732,62,2.592
545,71,2.6784
404,80,2.6784
357,97,2.592
538,60,2.6784
955,47,2.592
1410,36,2.6784
1220,31,2.6784
1717,8,2.5056
1788,18,2.6784
1333,27,2.592
549,49,2.6784
367,62,2.592
271,71,2.6784
220,80,2.6784
261,97,2.592
284,60,2.6784
524,47,2.592
776,36,2.6784
962,31,2.6784
1240,8,2.4192
1165,18,2.6784
975,27,2.592
475,49,2.6784
268,62,2.592
185,71,2.6784
139,80,2.6784
106,97,2.592
497,60,2.6784
977,47,2.592
1709,36,2.6784
1496,31,2.6784
1576,8,2.4192
1210,18,2.6784
678,27,2.592
325,49,2.6784
243,62,2.592
180,71,2.6784
136,80,2.6784
170,97,2.592
253,60,2.6784
381,47,2.592
1011,36,2.6784
2049,31,2.6784
1987,8,2.4192
1362,18,2.6784
1011,27,2.592
490,49,2.6784
339,62,2.592
287,71,2.6784
177,80,2.6784
258,97,2.592
599,60,2.6784
936,47,2.592
980,36,2.6784
2010,31,2.6784
4093,8,2.5056
4247,18,2.6784
1849,27,2.592
1186,49,2.6784
827,62,2.592
602,71,2.6784
476,80,2.6784
563,97,2.592
606,60,2.6784
961,47,2.592
1346,36,2.6784
1588,31,2.6784
1743,8,2.4192
1912,18,2.6784
1419,27,2.592
489,49,2.6784
369,62,2.592
296,71,2.6784
201,80,2.6784
272,97,2.592
467,60,2.6784
897,47,2.592
948,36,2.6784
1236,31,2.6784
1994,8,2.4192
1783,18,2.6784
1181,27,2.592
480,49,2.6784
336,62,2.592
246,71,2.6784
182,80,2.6784
519,97,2.592
538,60,2.6784
890,47,2.592
1882,36,2.6784
3497,31,2.6784
2876,8,2.4192
2828,18,2.6784
1694,27,2.592
727,49,2.6784
553,62,2.592
407,71,2.6784
309,80,2.6784
320,97,2.592
535,60,2.6784
1153,47,2.592
1830,36,2.6784
1447,31,2.6784
2018,8,2.5056
1616,18,2.6784
1029,27,2.592
463,49,2.6784
379,62,2.592
261,71,2.6784
198,80,2.6784
151,97,2.592
425,60,2.6784
566,47,2.592
1430,36,2.6784
3103,31,2.6784
3234,8,2.4192
3948,18,2.6784
3875,27,2.592
1876,49,2.6784
1073,62,2.592
785,71,2.6784
596,80,2.6784
500,97,2.592
921,60,2.6784
1690,47,2.592
3250,36,2.6784
2980,31,2.6784
2222,8,2.4192
1899,18,2.6784
1190,27,2.592
692,49,2.6784
403,62,2.592
294,71,2.6784
224,80,2.6784
243,97,2.592
270,60,2.6784
553,47,2.592
675,36,2.6784
1252,31,2.6784
1807,8,2.4192
2493,18,2.6784
1672,27,2.592
700,49,2.6784
524,62,2.592
401,71,2.6784
446,80,2.6784
303,97,2.592
564,60,2.6784
930,47,2.592
1439,36,2.6784
1506,31,2.6784
1454,8,2.5056
1901,18,2.6784
1064,27,2.592
511,49,2.6784
405,62,2.592
294,71,2.6784
220,80,2.6784
246,97,2.592
357,60,2.6784
811,47,2.592
3365,36,2.6784
2140,31,2.6784
3077,8,2.4192
1818,18,2.6784
1301,27,2.592
684,49,2.6784
409,62,2.592
298,71,2.6784
216,80,2.6784
177,97,2.592
300,60,2.6784
550,47,2.592
900,36,2.6784
794,31,2.6784
982,8,2.4192
1531,18,2.6784
972,27,2.592
411,49,2.6784
251,62,2.592
181,71,2.6784
149,80,2.6784
135,97,2.592
222,60,2.6784
563,47,2.592
733,36,2.6784
995,31,2.6784
1067,8,2.4192
1371,18,2.6784
1201,27,2.592
553,49,2.6784
433,62,2.592
309,71,2.6784
246,80,2.6784
239,97,2.592
213,60,2.6784
236,47,2.592
716,36,2.6784
530,31,2.6784
697,8,2.5056
1879,18,2.6784
658,27,2.592
453,49,2.6784
262,62,2.592
184,71,2.6784
142,80,2.6784
134,97,2.592
144,60,2.6784
356,47,2.592
1048,36,2.6784
466,31,2.6784
528,8,2.4192
866,18,2.6784
845,27,2.592
364,49,2.6784
265,62,2.592
205,71,2.6784
173,80,2.6784
154,97,2.592
322,60,2.6784
476,47,2.592
1085,36,2.6784
868,31,2.6784
1533,8,2.4192
597,18,2.6784
807,27,2.592
314,49,2.6784
224,62,2.592
170,71,2.6784
137,80,2.6784
126,97,2.592
102,60,2.6784
260,47,2.592
1275,36,2.6784
1185,31,2.6784
1253,8,2.4192
889,18,2.6784
1083,27,2.592
339,49,2.6784
283,62,2.592
198,71,2.6784
163,80,2.6784
151,97,2.592
260,60,2.6784
421,47,2.592
1079,36,2.6784
1007,31,2.6784
462,8,2.5056
1170,18,2.6784
496,27,2.592
460,49,2.6784
317,62,2.592
199,71,2.6784
164,80,2.6784
136,97,2.592
222,60,2.6784
986,47,2.592
1872,36,2.6784
2557,31,2.6784
2281,8,2.4192
2673,18,2.6784
2106,27,2.592
620,49,2.6784
449,62,2.592
313,71,2.6784
229,80,2.6784
206,97,2.592
235,60,2.6784
380,47,2.592
934,36,2.6784
1213,31,2.6784
2545,8,2.4192
1389,18,2.6784
1481,27,2.592
860,49,2.6784
395,62,2.592
330,71,2.6784
192,80,2.6784
213,97,2.592
276,60,2.6784
322,47,2.592
730,36,2.6784
3513,31,2.6784
1545,8,2.4192
1563,18,2.6784
836,27,2.592
393,49,2.6784
312,62,2.592
219,71,2.6784
179,80,2.6784
141,97,2.592
237,60,2.6784
552,47,2.592
558,36,2.6784
1746,31,2.6784
2783,8,2.5056
2790,18,2.6784
1578,27,2.592
692,49,2.6784
471,62,2.592
343,71,2.6784
256,80,2.6784
170,97,2.592
245,60,2.6784
569,47,2.592
1191,36,2.6784
1640,31,2.6784
2004,8,2.4192
1381,18,2.6784
823,27,2.592
751,49,2.6784
342,62,2.592
253,71,2.6784
217,80,2.6784
172,97,2.592
175,60,2.6784
250,47,2.592
685,36,2.6784
1069,31,2.6784
1303,8,2.4192
1745,18,2.6784
735,27,2.592
484,49,2.6784
331,62,2.592
251,71,2.6784
189,80,2.6784
165,97,2.592
321,60,2.6784
459,47,2.592
1387,36,2.6784
1412,31,2.6784
1490,8,2.4192
773,18,2.6784
560,27,2.592
406,49,2.6784
283,62,2.592
223,71,2.6784
174,80,2.6784
138,97,2.592
124,60,2.6784
313,47,2.592
455,36,2.6784
2681,31,2.6784
2568,8,2.5056
1133,18,2.6784
834,27,2.592
567,49,2.6784
368,62,2.592
280,71,2.6784
210,80,2.6784
145,97,2.592
298,60,2.6784
657,47,2.592
1212,36,2.6784
1128,31,2.6784
1263,8,2.4192
1503,18,2.6784
1423,27,2.592
739,49,2.6784
480,62,2.592
360,71,2.6784
267,80,2.6784
197,97,2.592
566,60,2.6784
867,47,2.592
948,36,2.6784
1184,31,2.6784
3929,8,2.4192
2243,18,2.6784
1098,27,2.592
780,49,2.6784
489,62,2.592
373,71,2.6784
284,80,2.6784
238,97,2.592
408,60,2.6784
439,47,2.592
893,36,2.6784
866,31,2.6784
1232,8,2.4192
1289,18,2.6784
958,27,2.592
560,49,2.6784
381,62,2.592
288,71,2.6784
211,80,2.6784
159,97,2.592
183,60,2.6784
469,47,2.592
870,36,2.6784
754,31,2.6784
1458,8,2.5056
2427,18,2.6784
1018,27,2.592
600,49,2.6784
422,62,2.592
317,71,2.6784
258,80,2.6784
245,97,2.592
325,60,2.6784
709,47,2.592
1473,36,2.6784
962,31,2.6784
1850,8,2.4192
1578,18,2.6784
769,27,2.592
599,49,2.6784
415,62,2.592
298,71,2.6784
236,80,2.6784
211,97,2.592
259,60,2.6784
895,47,2.592
1655,36,2.6784
2676,31,2.6784
1960,8,2.4192
2450,18,2.6784
1505,27,2.592
783,49,2.6784
533,62,2.592
416,71,2.6784
329,80,2.6784
312,97,2.592
457,60,2.6784
811,47,2.592
635,36,2.6784
564,31,2.6784
597,8,2.4192
712,18,2.6784
728,27,2.592
400,49,2.6784
291,62,2.592
222,71,2.6784
184,80,2.6784
187,97,2.592
378,60,2.6784
1171,47,2.592
1304,36,2.6784
801,31,2.6784
882,8,2.5056
1135,18,2.6784
977,27,2.592
521,49,2.6784
375,62,2.592
294,71,2.6784
233,80,2.6784
198,97,2.592
446,60,2.6784
719,47,2.592
1928,36,2.6784
1249,31,2.6784
1264,8,2.4192
1848,18,2.6784
1647,27,2.592
694,49,2.6784
488,62,2.592
421,71,2.6784
318,80,2.6784
258,97,2.592
786,60,2.6784
1023,47,2.592
1124,36,2.6784
975,31,2.6784
984,8,2.4192
2415,18,2.6784
1886,27,2.592
1005,49,2.6784
649,62,2.592
488,71,2.6784
386,80,2.6784
317,97,2.592
451,60,2.6784
577,47,2.592
781,36,2.6784
831,31,2.6784
1248,8,2.4192
785,18,2.6784
1093,27,2.592
565,49,2.6784
401,62,2.592
322,71,2.6784
256,80,2.6784
212,97,2.592
397,60,2.6784
647,47,2.592
668,36,2.6784
611,31,2.6784
938,8,2.5056
1124,18,2.6784
714,27,2.592
509,49,2.6784
348,62,2.592
272,71,2.6784
221,80,2.6784
254,97,2.592
370,60,2.6784
880,47,2.592
1417,36,2.6784
2077,31,2.6784
2936,8,2.4192
1038,18,2.6784
1106,27,2.592
670,49,2.6784
531,62,2.592
401,71,2.6784
317,80,2.6784
307,97,2.592
420,60,2.6784
538,47,2.592
1122,36,2.6784
3039,31,2.6784
2306,8,2.4192
2721,18,2.6784
1451,27,2.592
861,49,2.6784
657,62,2.592
509,71,2.6784
394,80,2.6784
332,97,2.592
427,60,2.6784
510,47,2.592
1001,36,2.6784
3511,31,2.6784
4627,8,2.4192
2170,18,2.6784
1382,27,2.592
856,49,2.6784
670,62,2.592
518,71,2.6784
417,80,2.6784
425,97,2.592
395,60,2.6784
614,47,2.592
711,36,2.6784
3078,31,2.6784
7012,8,2.5056
2894,18,2.6784
1911,27,2.592
982,49,2.6784
687,62,2.592
539,71,2.6784
425,80,2.6784
428,97,2.592
437,60,2.6784
795,47,2.592
1776,36,2.6784
2301,31,2.6784
1248,8,2.4192
1721,18,2.6784
1739,27,2.592
925,49,2.6784
716,62,2.592
549,71,2.6784
437,80,2.6784
356,97,2.592
603,60,2.6784
1353,47,2.592
1042,36,2.6784
3771,31,2.6784
2113,8,2.4192
2098,18,2.6784
1428,27,2.592
934,49,2.6784
712,62,2.592
567,71,2.6784
476,80,2.6784
446,97,2.592
559,60,2.6784
605,47,2.592
678,36,2.6784
1880,31,2.6784
4446,8,2.4192
1983,18,2.6784
1621,27,2.592
949,49,2.6784
721,62,2.592
578,71,2.6784
470,80,2.6784
428,97,2.592
531,60,2.6784
804,47,2.592
1553,36,2.6784
1165,31,2.6784
885,8,2.5056
1036,18,2.6784
1172,27,2.592
644,49,2.6784
466,62,2.592
374,71,2.6784
316,80,2.6784
339,97,2.592
437,60,2.6784
430,47,2.592
627,36,2.6784
3080,31,2.6784
2394,8,2.4192
