Início,Fim,Duração,Menor valor
Mai1931,Out1931,6,91.81438236594211
Abr1932,Out1932,7,80.73361447876528
Abr1933,Out1933,7,82.06550071711399
Abr1934,Nov1934,8,77.06582042022254
Jun1935,Out1935,5,93.84482092770688
Abr1936,Out1937,19,76.76450522215545
Abr1938,Nov1938,8,76.76242540702508
Abr1939,Out1939,7,85.29199396464952
Jun1940,Out1940,5,95.91274112260801
Abr1941,Out1941,7,84.95100947401205
Abr1942,Set1942,6,89.51320121744432
Mai1943,Out1943,6,92.80597494622884
Abr1944,Out1944,7,81.6389349981552
Jul1945,Set1945,3,97.91526521969462
Mai1946,Nov1946,7,82.14087599869283
Mai1947,Out1947,6,91.08134717731744
Abr1948,Nov1948,8,82.10454178931134
Abr1949,Out1956,91,38.48056827605743
Abr1959,Nov1959,8,79.59667186046488
Mai1960,Nov1960,7,82.1924639721745
Mai1961,Dez1963,32,63.874694051093975
Mai1966,Nov1967,19,75.50381772327401
Abr1969,Nov1969,8,79.03435094861047
Mai1970,Nov1972,31,65.04147861553729
Mai1974,Out1976,30,68.3899382403843
Mai1978,Nov1978,7,88.47335717594144
Mai1979,Out1979,6,91.35850470535506
Mai1980,Out1980,6,92.19415296247466
Mai1981,Out1981,6,90.61189487848593
Jun1982,Dez1982,7,92.0547519238913
Mai1983,Out1983,6,89.11590753712099
Abr1984,Nov1984,8,81.8306955556727
Mai1985,Out1985,6,88.60370133535861
Abr1986,Nov1987,20,68.6969570532666
Mai1990,Nov1990,7,85.25769321541436
Mai1991,Nov1991,7,84.2919962249428
Mai1992,Out1992,6,87.47894874358919
Abr1993,Nov1993,8,80.2658230527986
Mai1994,Nov1994,7,83.0528818566848
Mai1995,Nov1996,19,77.01256573684836
Mai1997,Nov1999,31,59.65444867662357
Abr2010,Nov2010,8,74.56956180016456
Abr2011,Out2011,7,82.32104334047862
Abr2012,Dez2019,93,2.9941716981357844
