Início,Fim,Duração,Menor valor
Jun1931,Out1931,5,90.62133118555248
Abr1932,Out1932,7,74.32683086097674
Mai1933,Out1933,6,77.49399436593616
Abr1934,Nov1934,8,65.49783601644239
Jun1935,Nov1935,6,80.29709745025558
Abr1936,Out1936,7,72.35922977035976
Mai1937,Out1937,6,76.90361073293788
Mai1938,Out1938,6,77.56998997945726
Mai1939,Nov1939,7,76.10429136325969
Mai1940,Out1940,6,74.84603517643991
Mai1941,Nov1941,7,80.9357071071279
Mai1942,Out1942,6,79.5848721789185
Jun1943,Out1943,5,88.87629555393754
Mai1944,Nov1944,7,79.5000208368298
Jul1945,Out1945,4,96.24516836653115
Jun1946,Out1946,5,90.67644553560805
Jul1947,Out1947,4,91.74787605858785
Abr1948,Out1948,7,80.94234626631598
Jul1949,Out1949,4,92.10520117210098
Jun1950,Out1950,5,82.39256216156693
Jun1951,Nov1951,6,78.46452107108004
Abr1952,Out1952,7,85.16147309437376
Mai1953,Out1953,6,74.05969687260739
Abr1954,Nov1954,8,63.20395636881899
Abr1955,Out1955,7,64.08278496895358
Mai1956,Nov1956,7,74.57033730694198
Jun1957,Out1957,5,88.8380082920529
Abr1958,Out1958,7,83.20274142898867
Abr1959,Out1959,7,68.6986025071017
Abr1960,Nov1960,8,74.70402877278669
Jun1961,Nov1961,6,74.5098727357509
Mai1962,Out1962,6,76.77721023843624
Mar1963,Dez1963,10,63.01026892237246
Mar1964,Out1964,8,70.40807481921905
Jun1965,Out1965,5,85.40084270254526
Jun1966,Out1966,5,84.30637278467593
Mai1967,Out1967,6,79.64999255620498
Mai1968,Out1968,6,84.86051771319477
Abr1969,Out1969,7,72.3520601506788
Abr1970,Out1971,19,59.93989505122431
Mai1972,Out1972,6,80.396292739128
Mai1973,Out1973,6,80.59836415398411
Mai1974,Out1974,6,80.82009852837803
Mai1975,Out1975,6,75.73671225609519
Mar1976,Out1976,8,71.36152973287632
Abr1977,Out1977,7,73.40147025416341
Jun1978,Out1978,5,85.5036333736082
Jul1979,Out1979,4,97.63455955274158
Jul1980,Out1980,4,93.16677369642855
Jun1981,Set1981,4,89.15223561568094
Jul1982,Nov1982,5,91.79704125189807
Jul1983,Out1983,4,94.43811339789944
Mai1984,Out1984,6,79.977952445986
Jun1985,Out1985,5,87.3988712833816
Mai1986,Nov1986,7,74.72470578274691
Mai1987,Nov1987,7,70.33712299857822
Abr1988,Nov1988,8,70.64546431673617
Mar1989,Out1989,8,68.3856743055751
Mar1990,Nov1990,9,68.15551087235477
Mai1991,Out1991,6,80.69648343049161
Jun1992,Out1992,5,89.27440286487487
Mai1993,Nov1993,7,76.63890930020409
Mai1994,Nov1994,7,74.082960594994
Mai1995,Out1995,6,71.15369862595955
Abr1996,Out1996,7,64.99725156927761
Jun1997,Nov1997,6,81.13872296199482
Mai1998,Out1998,6,68.61479574168263
Abr1999,Out1999,7,63.03140281147381
Mai2000,Out2000,6,70.96107161345628
Jan2001,Fev2001,2,99.91424325608494
Mar2001,Nov2001,9,58.95190168468165
Abr2002,Nov2002,8,60.01551365754586
Abr2003,Nov2003,8,60.90095984305183
Mai2004,Nov2004,7,73.2708828194265
Mai2005,Out2005,6,76.94716506664051
Mai2006,Out2006,6,78.42735847065335
Mai2007,Nov2007,7,65.71660347802968
Mai2008,Nov2008,7,69.03612044005422
Mai2009,Out2009,6,82.97090867546099
Abr2010,Out2010,7,67.03634396872543
Mai2011,Nov2011,7,71.77985580400083
Mai2012,Out2012,6,67.85013511922965
Abr2013,Nov2017,56,3.0215623716711706
