Início,Fim,Duração,Menor valor
Mai1931,Out1931,6,92.51013627055457
Abr1932,Out1932,7,81.72108887065512
Abr1933,Out1933,7,83.05214839525333
Abr1934,Nov1934,8,77.91842890408334
Jun1935,Out1935,5,94.54656740630799
Abr1936,Out1937,19,77.73674842077072
Abr1938,Nov1938,8,77.61863559222215
Abr1939,Out1939,7,86.29299072101745
Jun1940,Out1940,5,96.61631876403997
Abr1941,Out1941,7,85.95094446039252
Abr1942,Set1942,6,90.09843906262734
Mai1943,Out1943,6,93.07520722784517
Abr1944,Out1944,7,82.62280272828052
Jul1945,Set1945,3,98.30592163699546
Mai1946,Nov1946,7,83.00779724261088
Mai1947,Out1947,6,92.10255295556613
Abr1948,Nov1948,8,82.9693539082487
Abr1949,Out1956,91,39.406480937795045
Abr1959,Nov1959,8,80.46198388347565
Mai1960,Nov1960,7,83.05889742745003
Mai1961,Dez1963,32,63.877012720451695
Mai1966,Nov1967,19,76.50715855119088
Abr1969,Nov1969,8,80.04064325235412
Mai1970,Nov1972,31,66.0129059148642
Mai1974,Out1976,30,69.501996812765
Mai1978,Nov1978,7,89.3008798271467
Mai1979,Out1979,6,92.38192816050241
Mai1980,Out1980,6,93.21426208206792
Mai1981,Out1981,6,91.62576179877165
Jun1982,Dez1982,7,91.89652805595823
Mai1983,Out1983,6,90.28023756611935
Abr1984,Dez1984,9,82.00261740604955
Mai1985,Out1985,6,89.61339020987549
Abr1986,Nov1987,20,69.68122141853101
Mai1990,Dez1990,8,85.68029294507741
Mai1991,Nov1991,7,85.1673030178368
Mai1992,Out1992,6,88.63646052965306
Abr1993,Nov1993,8,81.28016268030682
Mai1994,Nov1994,7,83.92207731395457
Mai1995,Nov1996,19,78.02826534649589
Mai1997,Nov1999,31,60.62266601438709
Abr2010,Nov2010,8,75.5629538521126
Abr2011,Out2011,7,83.4612665598914
Abr2012,Dez2019,93,2.9953521377150323
