Unnamed: 0,retirobaixo,tresmarias,queimado,peixeangelical,serradamesa,sobradinho,itaparica,tucurui,pamx,xingo,canabrava,saosalvador,estreito,lajeado
0,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
1,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
2,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
3,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
4,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
5,241.59,19528.0,557.0,2741.0,54237.35927120928,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
6,241.59,19528.0,557.0,2741.0,53650.69679309629,34010.93244423972,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
7,241.59,19414.34812492187,557.0,2741.0,52775.44204959036,32722.84463897516,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
8,241.59,19466.210171757284,557.0,2741.0,51907.091415210045,30740.494628373523,10782.0,48791.81644094028,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
9,241.59,19528.0,557.0,2741.0,51521.365294874224,28683.471354270703,10782.0,47065.43610178191,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
10,241.59,19528.0,557.0,2741.0,51699.71611255464,29112.8301145826,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
11,241.59,19528.0,557.0,2741.0,51976.73312942498,32374.95687998203,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
12,241.59,19528.0,557.0,2741.0,53610.81176173704,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
13,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
14,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
15,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
16,241.59,19412.17736433131,557.0,2741.0,53630.72942432689,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
17,241.59,19186.83795103276,557.0,2741.0,52567.56437576215,33388.29121081775,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
18,241.59,18804.61240743439,557.0,2741.0,51288.40653222585,31436.77303037517,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
19,241.59,18317.61329619589,556.2549416866018,2741.0,49886.08054348528,28530.83792116017,10782.0,47095.29991691977,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
20,241.59,17817.309389114773,557.0,2741.0,48587.750089792346,25239.64812273172,10782.0,42881.13054021533,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
21,241.59,17748.306208935217,557.0,2741.0,47899.24752623126,22271.48211411461,10782.0,39824.61737840015,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
22,241.59,18396.80975970976,557.0,2741.0,47998.92515447098,23298.755701370188,10782.0,42656.26268486034,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
