retirobaixo,tresmarias,queimado,sobradinho,itaparica,pamx,xingo,serradamesa,canabrava,peixeangelical,lajeado,estreito,tucurui,saosalvador
138,940,50,4676,4870,4932,4932,1049,1191,2537,3777,5821,17342,1344
145,1932,115,4805,4550,4470,4470,1426,1600,3360,5450,8515,21530,1797
408,1858,153,6630,6537,6506,6506,2515,2803,7219,11227,18399,33299,3166
357,1189,48,7333,7298,7283,7283,1604,1768,3937,6332,12467,34674,2023
163,687,42,4467,4942,5075,5075,782,861,1904,3065,6045,15184,988
112,472,39,2397,2478,2507,2507,577,632,1398,2049,3738,8611,703
89,380,37,1870,1905,1918,1918,429,466,1065,1484,2760,5939,521
74,312,34,1619,1647,1656,1656,326,352,829,1097,2023,4259,394
55,375,31,1448,1453,1456,1456,327,350,781,980,1746,3282,382
70,385,40,1376,1358,1356,1356,486,522,1025,1422,2196,3305,576
77,469,58,1935,1905,1890,1890,690,750,1684,2551,3822,6500,846
101,579,53,2207,2121,2100,2100,718,801,1789,2692,4185,8461,906
269,1134,116,4036,3811,3729,3729,1219,1343,2575,3837,5754,14002,1481
128,959,69,4531,4681,4726,4726,1529,1701,3247,5105,7743,20596,1917
111,655,51,3214,3329,3369,3369,1090,1207,2357,3706,6381,21638,1379
62,409,39,1976,2079,2113,2113,656,711,1258,1907,3914,15967,790
48,316,34,1425,1449,1460,1460,339,366,687,1035,2133,9897,415
61,273,29,1292,1311,1317,1317,229,246,474,666,1393,6661,272
58,215,26,1176,1190,1193,1193,169,181,361,488,1020,4338,200
45,172,23,995,1009,1014,1014,127,184,276,348,676,2701,147
34,161,27,905,912,914,914,158,170,363,537,946,2227,185
28,322,42,982,947,938,938,371,393,732,991,1451,2805,418
100,593,61,2107,1835,1742,1742,658,698,1226,1706,2329,5383,748
181,1344,46,3594,3525,3500,3500,898,972,1643,2536,3367,9547,1053
409,1994,90,5014,4911,4880,4880,1420,1545,2531,3969,5571,14644,1691
232,809,31,5516,5837,5908,5908,1389,1535,2626,4187,6692,20569,1727
179,686,90,3429,3481,3502,3502,1164,1286,2363,3753,6959,20535,1441
125,534,43,2692,2788,2817,2817,1072,1177,2123,3375,6857,21021,1315
122,371,27,1905,1986,2013,2013,449,480,806,1291,3174,14045,544
111,286,28,1357,1372,1378,1378,319,341,554,793,1851,7065,370
91,246,25,1250,1266,1270,1270,229,244,413,570,1338,4267,267
82,208,24,1072,1092,1098,1098,177,187,319,417,989,2982,202
59,200,22,915,927,931,931,216,229,354,436,950,2121,235
74,318,34,1194,1090,1059,1059,379,402,596,674,1122,2069,419
82,435,77,1799,1770,1757,1757,809,883,1913,2399,3462,5477,964
307,1388,81,3336,3076,3002,3002,1469,1635,3622,4907,7289,10382,1825
245,1343,41,6110,5967,5915,5915,1467,1618,3415,5240,8537,17635,1846
100,486,51,4222,4749,4893,4893,1405,1545,3432,5589,9939,16561,1766
74,520,38,2298,2582,2831,2831,1114,1240,2668,4985,9669,20002,1474
66,380,39,1615,1664,1688,1688,995,1076,1939,3420,7194,18642,1219
58,279,28,1785,1808,1808,1808,365,389,782,1415,3999,14158,461
46,199,23,1167,1202,1215,1215,255,270,499,808,2043,6959,302
46,168,21,997,1008,1013,1013,188,198,379,573,1391,4206,222
43,147,19,897,911,915,915,140,147,290,411,1021,2877,162
41,179,21,799,1017,1027,1027,247,263,449,551,1141,1460,282
