Início,Fim,Duração,Menor valor
Mai1931,Nov1931,7,81.77586140176065
Mar1932,Out1932,8,57.14694888727666
Abr1933,Nov1933,8,63.19859105661928
Jan1934,Nov1934,11,43.93043223325039
Mai1935,Out1936,18,51.70368344878117
Mar1937,Out1937,8,63.817726590967375
Mar1938,Nov1938,9,62.542400976134736
Abr1939,Nov1939,8,60.077098118897474
Mar1940,Out1940,8,61.13166967873459
Abr1941,Nov1941,8,67.71459845622792
Abr1942,Out1942,7,68.22608831410065
Mai1943,Out1943,6,81.60483334173891
Abr1944,Nov1944,8,65.83674295895587
Jun1945,Out1945,5,90.77085646397265
Mai1946,Out1946,6,83.29685711207127
Mai1947,Out1947,6,84.3410617214324
Abr1948,Nov1948,8,68.5047055805384
Mai1949,Out1949,6,86.3121674587789
Abr1950,Out1950,7,72.49278690286044
Abr1951,Dez1951,9,64.65746259459215
Mar1952,Out1955,44,6.873440397225237
Mai1961,Nov1961,7,59.74183106746229
Abr1962,Out1962,7,63.79895812545322
Mar1963,Dez1963,10,32.23629260279894
Abr1965,Out1965,7,76.09619845660063
Mai1966,Out1966,6,75.8553053284436
Abr1967,Out1967,7,68.1019990252868
Abr1968,Out1969,19,54.66476192646723
Abr1970,Out1971,19,6.306966054037721
Abr1973,Out1973,7,68.6281281097335
Abr1974,Nov1974,8,67.02345860723933
Fev1975,Out1976,21,24.94838014513479
Mai1979,Out1979,6,93.27171326582689
Mai1980,Out1980,6,86.82189304887712
Abr1981,Out1981,7,80.81085371037014
Jun1982,Nov1982,6,84.75534240086434
Jun1983,Out1983,5,93.60966949622534
Abr1984,Nov1984,8,64.7531424704858
Mai1985,Out1985,6,79.00194342987264
Abr1986,Dez1990,57,28.6954843351322
Mai1992,Out1992,6,80.2486881385145
