Início,Fim,Duração,Menor valor
Mai1931,Out1931,6,87.44171128508896
Mar1932,Out1933,20,74.40084820354555
Abr1934,Nov1934,8,70.46776834174999
Mai1935,Out1935,6,90.1880873234323
Abr1936,Nov1938,32,63.546147384815534
Jun1940,Out1940,5,92.31093269756494
Abr1941,Out1941,7,79.59614289786609
Abr1942,Out1942,7,85.68223255698315
Abr1943,Out1943,7,89.00678446670811
Abr1944,Nov1944,8,75.5187496131083
Jun1945,Set1945,4,96.26817065074032
Abr1946,Nov1946,8,76.40392514446464
Abr1947,Out1947,7,86.33703907653837
Abr1948,Nov1948,8,75.40043919375827
Abr1949,Out1956,91,6.780099308439327
Mai1979,Nov1979,7,86.17251063122814
Mai1980,Nov1980,7,87.19087433710946
Mai1981,Out1981,6,85.84238907763942
Mai1982,Dez1982,8,85.15024920010676
Mai1983,Nov1983,7,82.87365824314843
Abr1984,Dez1984,9,74.03035162772443
Mai1985,Out1985,6,84.0684368923265
Abr1986,Out1989,43,57.679325463387755
Abr1991,Nov1991,8,77.83811848834557
Mai1992,Out1992,6,82.19818218361348
